"DLL Page Link","Record title","Alternative Title","Work Authority","Work Abbreviated","Has Part","Part Of","References","Creator","Attributed to","Dubious/Spurious Attribution","DLL Identifier","PHI Number","Stoa Number","CTS URN"
"https://catalog.digitallatin.org/dll-work/W3265","","","Perseus Catalog","","","","","Pontius, Saint, Deacon of Carthage","","","W3265","","stoa0233d.stoa002","urn:cts:latinLit:stoa0233d.stoa002"
"https://catalog.digitallatin.org/dll-work/W3329","","Chronicum Integrum In Dua Partes Distributum","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3329","","stoa0237.stoa006","urn:cts:latinLit:stoa0237.stoa006"
"https://catalog.digitallatin.org/dll-work/W3340","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3340","","stoa0220c.stoa002","urn:cts:latinLit:stoa0220c.stoa002"
"https://catalog.digitallatin.org/dll-work/W3353","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3353","","stoa0237.stoa004","urn:cts:latinLit:stoa0237.stoa004"
"https://catalog.digitallatin.org/dll-work/W3370","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3370","","stoa0237.stoa001b","urn:cts:latinLit:stoa0237.stoa001b"
"https://catalog.digitallatin.org/dll-work/W3361","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3361","","stoa0237.stoa005","urn:cts:latinLit:stoa0237.stoa005"
"https://catalog.digitallatin.org/dll-work/W3372","","","LLT-A","","","","","Prosper, of Aquitaine, Saint","","","W3372","","stoa0237.stoa010","urn:cts:latinLit:stoa0237.stoa010"
"https://catalog.digitallatin.org/dll-work/W3377","","","LLT-A","","","","","Prosper, of Aquitaine, Saint","","","W3377","","stoa0237.stoa001","urn:cts:latinLit:stoa0237.stoa001"
"https://catalog.digitallatin.org/dll-work/W3391","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3391","","stoa0237.stoa001a","urn:cts:latinLit:stoa0237.stoa001a"
"https://catalog.digitallatin.org/dll-work/W3429","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3429","","stoa0237.stoa008","urn:cts:latinLit:stoa0237.stoa008"
"https://catalog.digitallatin.org/dll-work/W3406","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3406","","stoa0237.stoa008a","urn:cts:latinLit:stoa0237.stoa008a"
"https://catalog.digitallatin.org/dll-work/W3407","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3407","","stoa0237.stoa003a","urn:cts:latinLit:stoa0237.stoa003a"
"https://catalog.digitallatin.org/dll-work/W3472","","","LLT-A","","","","","Potamius, Bishop of Lisbon","","","W3472","","",""
"https://catalog.digitallatin.org/dll-work/W3479","","","LLT-A","","","","","Potamius, Bishop of Lisbon","","","W3479","","",""
"https://catalog.digitallatin.org/dll-work/W3511","","","LLT-A","","","","","Potamius, Bishop of Lisbon","","","W3511","","",""
"https://catalog.digitallatin.org/dll-work/W3515","","","LLT-A","","","","","Potamius, Bishop of Lisbon","","","W3515","","",""
"https://catalog.digitallatin.org/dll-work/W3759","","","PHI","Per. (OLD)","","","","Plautus, Titus Maccius","","","W3759","phi0119.014","stoa0231.stoa014","urn:cts:latinLit:phi0119.phi014"
"https://catalog.digitallatin.org/dll-work/W3742","","","PHI","Rud. (OLD)","","","","Plautus, Titus Maccius","","","W3742","phi0119.017","stoa0231.stoa017","urn:cts:latinLit:phi0119.phi017"
"https://catalog.digitallatin.org/dll-work/W3782","","","PHI","Epid. (OLD)","","","","Plautus, Titus Maccius","","","W3782","phi0119.009","stoa0231.stoa009","urn:cts:latinLit:phi0119.phi009"
"https://catalog.digitallatin.org/dll-work/W3761","","","PHI","","","","","Plautus, Titus Maccius","","","W3761","phi0119.022","","urn:cts:latinLit:phi0119.phi022"
"https://catalog.digitallatin.org/dll-work/W3780","","","PHI","Mos. (OLD)","","","","Plautus, Titus Maccius","","","W3780","phi0119.013","","urn:cts:latinLit:phi0119.phi013"
"https://catalog.digitallatin.org/dll-work/W3785","","","PHI","Trin. (OLD)","","","","Plautus, Titus Maccius","","","W3785","phi0119.019","stoa0231.stoa019","urn:cts:latinLit:phi0119.phi019"
"https://catalog.digitallatin.org/dll-work/W3762","","","PHI","Truc. (OLD)","","","","Plautus, Titus Maccius","","","W3762","phi0119.020","","urn:cts:latinLit:phi0119.phi020"
"https://catalog.digitallatin.org/dll-work/W3775","","","PHI","Mer. (OLD)","","","","Plautus, Titus Maccius","","","W3775","phi0119.011","stoa0231.stoa011","urn:cts:latinLit:phi0119.phi011"
"https://catalog.digitallatin.org/dll-work/W3771","","","PHI","Ps. (OLD)","","","","Plautus, Titus Maccius","","","W3771","phi0119.016","stoa0231.stoa016","urn:cts:latinLit:phi0119.phi016"
"https://catalog.digitallatin.org/dll-work/W3798","","","PHI","St. (OLD)","","","","Plautus, Titus Maccius","","","W3798","phi0119.018","stoa0231.stoa018","urn:cts:latinLit:phi0119.phi018"
"https://catalog.digitallatin.org/dll-work/W3767","","","PHI","Men. (OLD)","","","","Plautus, Titus Maccius","","","W3767","phi0119.010","","urn:cts:latinLit:phi0119.phi010"
"https://catalog.digitallatin.org/dll-work/W3765","","","PHI","Poen. (OLD)","","","","Plautus, Titus Maccius","","","W3765","phi0119.015","stoa0231.stoa015","urn:cts:latinLit:phi0119.phi015"
"https://catalog.digitallatin.org/dll-work/W3769","","","PHI","Vid. (OLD)","","","","Plautus, Titus Maccius","","","W3769","phi0119.021","stoa0231.stoa021","urn:cts:latinLit:phi0119.phi021"
"https://catalog.digitallatin.org/dll-work/W3497","","fragmentum in Phoebadii Aginnensis 'Contra Arrianos' seruatum","LLT-A","","","","","Potamius, Bishop of Lisbon","","","W3497","","",""
"https://catalog.digitallatin.org/dll-work/W341","","","PHI","","","","","Pliny, the Elder","","","W341","phi0978.002","","urn:cts:latinLit:phi0978.phi002"
"https://catalog.digitallatin.org/dll-work/W312","","","PHI","Nat. (OLD)","","","","Pliny, the Elder","","","W312","phi0978.001","stoa0232.stoa001","urn:cts:latinLit:phi0978.phi001"
"https://catalog.digitallatin.org/dll-work/W413","","Carmina","Perseus Catalog","","","","","Porfyrius, P. Optatianus","","","W413","","stoa0215.stoa002","urn:cts:latinLit:stoa0215.stoa002"
"https://catalog.digitallatin.org/dll-work/W431","","","PHI","","","","","Porfyrius, P. Optatianus","","","W431","phi2123.003","stoa0215.stoa001","urn:cts:latinLit:phi2123.phi003"
"https://catalog.digitallatin.org/dll-work/W411","","","Perseus Catalog","","","","","Porfyrius, P. Optatianus","","","W411","","stoa0215.stoa003","urn:cts:latinLit:stoa0215.stoa003"
"https://catalog.digitallatin.org/dll-work/W2341","","","PHI","Ep. (OLD)","Epistulae ad Traianum;Epistulae a Traiano ad Plinium","","","Pliny, the Younger","","","W2341","phi1318.001","stoa0233.stoa001","urn:cts:latinLit:phi1318.phi001"
"https://catalog.digitallatin.org/dll-work/W1241","","","PHI","","","","","Propertius, Sextus","","","W1241","phi0620.001","stoa0236.stoa001","urn:cts:latinLit:phi0620.phi001"
"https://catalog.digitallatin.org/dll-work/W1508","","","Perseus Catalog","","","","","Pontianus Africanus","","","W1508","","stoa0235a.stoa001","urn:cts:latinLit:stoa0235a.stoa001"
"https://catalog.digitallatin.org/dll-work/W3893","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3893","","",""
"https://catalog.digitallatin.org/dll-work/W2763","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2763","","stoa0104p.stoa002","urn:cts:latinLit:stoa0104p.stoa002"
"https://catalog.digitallatin.org/dll-work/W5349","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W5349","","",""
"https://catalog.digitallatin.org/dll-work/W1118","","","PHI","Inst. (OLD)","","","","Quintilian","","","W1118","phi1002.001","stoa0240.stoa001","urn:cts:latinLit:phi1002.phi001"
"https://catalog.digitallatin.org/dll-work/W1136","","","PHI","Decl. (OLD)","","","","Quintilian","","","W1136","phi1002.002","","urn:cts:latinLit:phi1002.phi002"
"https://catalog.digitallatin.org/dll-work/W1131","","Declamationes pseudo-Quintilianeae (Maiores)","PHI","Decl. (OLD)","","","","Quintilian","","Dubiously/Spuriously Attributed","W1131","phi1002.003","stoa0239.stoa001","urn:cts:latinLit:phi1002.phi003"
"https://catalog.digitallatin.org/dll-work/W4966","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W4966","","stoa0237.stoa017","urn:cts:latinLit:stoa0237.stoa017"
"https://catalog.digitallatin.org/dll-work/W4967","","","LLT-A","","","","","Prosper, of Aquitaine, Saint","","","W4967","","stoa0237.stoa009","urn:cts:latinLit:stoa0237.stoa009"
"https://catalog.digitallatin.org/dll-work/W2689","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2689","","stoa0104p.stoa012","urn:cts:latinLit:stoa0104p.stoa012"
"https://catalog.digitallatin.org/dll-work/W2711","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2711","","stoa0104p.stoa019","urn:cts:latinLit:stoa0104p.stoa019"
"https://catalog.digitallatin.org/dll-work/W2730","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2730","","stoa0104p.stoa001","urn:cts:latinLit:stoa0104p.stoa001"
"https://catalog.digitallatin.org/dll-work/W2716","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2716","","stoa0104p.stoa004","urn:cts:latinLit:stoa0104p.stoa004"
"https://catalog.digitallatin.org/dll-work/W2723","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2723","","stoa0104p.stoa005","urn:cts:latinLit:stoa0104p.stoa005"
"https://catalog.digitallatin.org/dll-work/W2715","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2715","","stoa0104p.stoa009","urn:cts:latinLit:stoa0104p.stoa009"
"https://catalog.digitallatin.org/dll-work/W2722","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2722","","stoa0104p.stoa010","urn:cts:latinLit:stoa0104p.stoa010"
"https://catalog.digitallatin.org/dll-work/W2713","","De Duodecim Abusionibus Saeculi Tractatus","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2713","","stoa0104p.stoa014","urn:cts:latinLit:stoa0104p.stoa014"
"https://catalog.digitallatin.org/dll-work/W2721","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2721","","stoa0104p.stoa016","urn:cts:latinLit:stoa0104p.stoa016"
"https://catalog.digitallatin.org/dll-work/W2728","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2728","","stoa0104p.stoa017","urn:cts:latinLit:stoa0104p.stoa017"
"https://catalog.digitallatin.org/dll-work/W2718","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2718","","stoa0104p.stoa020","urn:cts:latinLit:stoa0104p.stoa020"
"https://catalog.digitallatin.org/dll-work/W2710","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2710","","stoa0104p.stoa003","urn:cts:latinLit:stoa0104p.stoa003"
"https://catalog.digitallatin.org/dll-work/W2708","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2708","","stoa0104p.stoa008","urn:cts:latinLit:stoa0104p.stoa008"
"https://catalog.digitallatin.org/dll-work/W2738","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2738","","stoa0104p.stoa013","urn:cts:latinLit:stoa0104p.stoa013"
"https://catalog.digitallatin.org/dll-work/W2764","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2764","","stoa0104p.stoa015","urn:cts:latinLit:stoa0104p.stoa015"
"https://catalog.digitallatin.org/dll-work/W2754","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2754","","stoa0104p.stoa021","urn:cts:latinLit:stoa0104p.stoa021"
"https://catalog.digitallatin.org/dll-work/W2753","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2753","","stoa0104p.stoa006","urn:cts:latinLit:stoa0104p.stoa006"
"https://catalog.digitallatin.org/dll-work/W2760","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2760","","stoa0104p.stoa007","urn:cts:latinLit:stoa0104p.stoa007"
"https://catalog.digitallatin.org/dll-work/W2756","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2756","","stoa0104p.stoa011","urn:cts:latinLit:stoa0104p.stoa011"
"https://catalog.digitallatin.org/dll-work/W2755","","","Perseus Catalog","","","","","Pseudo-Cyprian","","","W2755","","stoa0104p.stoa018","urn:cts:latinLit:stoa0104p.stoa018"
"https://catalog.digitallatin.org/dll-work/W3333","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3333","","stoa0237.stoa016","urn:cts:latinLit:stoa0237.stoa016"
"https://catalog.digitallatin.org/dll-work/W3331","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3331","","stoa0237.stoa013","urn:cts:latinLit:stoa0237.stoa013"
"https://catalog.digitallatin.org/dll-work/W3354","","","LLT-A","","","","","Prosper, of Aquitaine, Saint","","","W3354","","stoa0237.stoa003","urn:cts:latinLit:stoa0237.stoa003"
"https://catalog.digitallatin.org/dll-work/W3343","","Responsiones Ad Capitula Objectionum Gallorum Calumniantium","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3343","","stoa0237.stoa014","urn:cts:latinLit:stoa0237.stoa014"
"https://catalog.digitallatin.org/dll-work/W3351","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3351","","stoa0237.stoa015","urn:cts:latinLit:stoa0237.stoa015"
"https://catalog.digitallatin.org/dll-work/W3363","","Epistulae ad Rufinum: De gratia Dei et libero voluntatis arbitrio","LLT-A","","","","","Prosper, of Aquitaine, Saint","","","W3363","","stoa0237.stoa002","urn:cts:latinLit:stoa0237.stoa002"
"https://catalog.digitallatin.org/dll-work/W3345","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3345","","stoa0237.stoa011","urn:cts:latinLit:stoa0237.stoa011"
"https://catalog.digitallatin.org/dll-work/W3362","","","Perseus Catalog","","","","","Prosper, of Aquitaine, Saint","","","W3362","","stoa0237.stoa012","urn:cts:latinLit:stoa0237.stoa012"
"https://catalog.digitallatin.org/dll-work/W3754","","","Perseus Catalog","","","","","Victor, Publius","","","W3754","","stoa0238b.stoa001","urn:cts:latinLit:stoa0238b.stoa001"
"https://catalog.digitallatin.org/dll-work/W3860","","Admonitio In Librum De Haeresibus","Perseus Catalog","","","","","Quodvultdeus, Bishop of Carthage","","","W3860","","stoa0240a.stoa001","urn:cts:latinLit:stoa0240a.stoa001"
"https://catalog.digitallatin.org/dll-work/W3868","","","LLT-A","","","","","Quodvultdeus, Bishop of Carthage","","","W3868","","",""
"https://catalog.digitallatin.org/dll-work/W3873","","","LLT-A","","","","","Quodvultdeus, Bishop of Carthage","","","W3873","","",""
"https://catalog.digitallatin.org/dll-work/W3879","","","LLT-A","","","","","Quodvultdeus, Bishop of Carthage","","","W3879","","",""
"https://catalog.digitallatin.org/dll-work/W3856","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3856","","",""
"https://catalog.digitallatin.org/dll-work/W3863","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3863","","",""
"https://catalog.digitallatin.org/dll-work/W3875","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3875","","",""
"https://catalog.digitallatin.org/dll-work/W3861","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3861","","",""
"https://catalog.digitallatin.org/dll-work/W3869","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3869","","",""
"https://catalog.digitallatin.org/dll-work/W3874","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3874","","",""
"https://catalog.digitallatin.org/dll-work/W3886","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3886","","",""
"https://catalog.digitallatin.org/dll-work/W3884","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3884","","",""
"https://catalog.digitallatin.org/dll-work/W3889","","","LLT-A","","","","","Quodvultdeus, Bishop of Carthage","","","W3889","","",""
"https://catalog.digitallatin.org/dll-work/W2907","","De providentia","LLT-A","","","","","Salvian, of Marseilles","","","W2907","","stoa0249a.stoa002","urn:cts:latinLit:stoa0249a.stoa002"
"https://catalog.digitallatin.org/dll-work/W2920","","","MGH","","","","","Salvian, of Marseilles","","","W2920","","stoa0249a.stoa004","urn:cts:latinLit:stoa0249a.stoa004"
"https://catalog.digitallatin.org/dll-work/W2934","","","LLT-A","","","","","Salvian, of Marseilles","","","W2934","","stoa0249a.stoa001","urn:cts:latinLit:stoa0249a.stoa001"
"https://catalog.digitallatin.org/dll-work/W3339","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3339","","stoa0244d.stoa005","urn:cts:latinLit:stoa0244d.stoa005"
"https://catalog.digitallatin.org/dll-work/W3262","","","Perseus Catalog","","","","","Secundinus, Manichaeus","","","W3262","","stoa0251.stoa001","urn:cts:latinLit:stoa0251.stoa001"
"https://catalog.digitallatin.org/dll-work/W3334","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","Dubiously/Spuriously Attributed","W3334","","stoa0244d.stoa017","urn:cts:latinLit:stoa0244d.stoa017"
"https://catalog.digitallatin.org/dll-work/W3341","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3341","","stoa0244d.stoa007","urn:cts:latinLit:stoa0244d.stoa007"
"https://catalog.digitallatin.org/dll-work/W3349","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3349","","stoa0244d.stoa008","urn:cts:latinLit:stoa0244d.stoa008"
"https://catalog.digitallatin.org/dll-work/W3330","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3330","","stoa0244d.stoa010","urn:cts:latinLit:stoa0244d.stoa010"
"https://catalog.digitallatin.org/dll-work/W3342","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3342","","stoa0244d.stoa012","urn:cts:latinLit:stoa0244d.stoa012"
"https://catalog.digitallatin.org/dll-work/W3350","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3350","","stoa0244d.stoa013","urn:cts:latinLit:stoa0244d.stoa013"
"https://catalog.digitallatin.org/dll-work/W3327","","","LLT-A;Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3327","","stoa0244d.stoa015","urn:cts:latinLit:stoa0244d.stoa015"
"https://catalog.digitallatin.org/dll-work/W3356","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3356","","stoa0244d.stoa002","urn:cts:latinLit:stoa0244d.stoa002"
"https://catalog.digitallatin.org/dll-work/W3326","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3326","","stoa0244d.stoa001","urn:cts:latinLit:stoa0244d.stoa001"
"https://catalog.digitallatin.org/dll-work/W3368","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3368","","stoa0244d.stoa004","urn:cts:latinLit:stoa0244d.stoa004"
"https://catalog.digitallatin.org/dll-work/W3346","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3346","","stoa0244d.stoa018","urn:cts:latinLit:stoa0244d.stoa018"
"https://catalog.digitallatin.org/dll-work/W3355","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","Dubiously/Spuriously Attributed","W3355","","stoa0244d.stoa019","urn:cts:latinLit:stoa0244d.stoa019"
"https://catalog.digitallatin.org/dll-work/W3357","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3357","","stoa0244d.stoa009","urn:cts:latinLit:stoa0244d.stoa009"
"https://catalog.digitallatin.org/dll-work/W3358","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W3358","","stoa0244d.stoa014","urn:cts:latinLit:stoa0244d.stoa014"
"https://catalog.digitallatin.org/dll-work/W3348","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","Dubiously/Spuriously Attributed","W3348","","stoa0244d.stoa016","urn:cts:latinLit:stoa0244d.stoa016"
"https://catalog.digitallatin.org/dll-work/W3891","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3891","","",""
"https://catalog.digitallatin.org/dll-work/W3858","","","LLT-A","","","Sermones","","Quodvultdeus, Bishop of Carthage","","","W3858","","",""
"https://catalog.digitallatin.org/dll-work/W635","","","PHI","","","","","Sallust","","","W635","phi0631.006","","urn:cts:latinLit:phi0631.phi006"
"https://catalog.digitallatin.org/dll-work/W609","","","PHI","Cic. (OLD)","","","","Sallust","","Dubiously/Spuriously Attributed","W609","phi0631.008","stoa0249.stoa005","urn:cts:latinLit:phi0631.phi008"
"https://catalog.digitallatin.org/dll-work/W5236","","","PHI","","","","","Sallust","","","W5236","phi0631.005","","urn:cts:latinLit:phi0631.phi005"
"https://catalog.digitallatin.org/dll-work/W199","","","LLT-B","","","","","Avienus, Rufius Festus","","","W199","","stoa0047.stoa002","urn:cts:latinLit:stoa0047.stoa002"
"https://catalog.digitallatin.org/dll-work/W198","","","Perseus Catalog","","","","","Salonius, of Geneva","","","W198","","stoa0248d.stoa001","urn:cts:latinLit:stoa0248d.stoa001"
"https://catalog.digitallatin.org/dll-work/W229","","","Perseus Catalog","","","","","Salonius, of Geneva","","","W229","","stoa0248d.stoa002","urn:cts:latinLit:stoa0248d.stoa002"
"https://catalog.digitallatin.org/dll-work/W213","","","LLT-B","","","","","Avienus, Rufius Festus","","","W213","","stoa0047.stoa005","urn:cts:latinLit:stoa0047.stoa005"
"https://catalog.digitallatin.org/dll-work/W200","","","LLT-B","","","","","Avienus, Rufius Festus","","","W200","","stoa0047.stoa001","urn:cts:latinLit:stoa0047.stoa001"
"https://catalog.digitallatin.org/dll-work/W206","","","Perseus Catalog","","","","","Avienus, Rufius Festus","","","W206","","stoa0047.stoa004","urn:cts:latinLit:stoa0047.stoa004"
"https://catalog.digitallatin.org/dll-work/W231","","","LLT-B","","","","","Avienus, Rufius Festus","","","W231","","stoa0047.stoa003","urn:cts:latinLit:stoa0047.stoa003"
"https://catalog.digitallatin.org/dll-work/W588","","De coniuratione Catilinae ;Bellum Catilinae","PHI","Cat. (OLD)","","","","Sallust","","","W588","phi0631.001","stoa0249.stoa002","urn:cts:latinLit:phi0631.phi001"
"https://catalog.digitallatin.org/dll-work/W591","","Historiarum reliquiae  ","PHI","","","","","Sallust","","","W591","phi0631.003","stoa0249.stoa004","urn:cts:latinLit:phi0631.phi003"
"https://catalog.digitallatin.org/dll-work/W636","","De bello Iugurthino ","PHI","Jug. (OLD)","","","","Sallust","","","W636","phi0631.002","stoa0249.stoa001","urn:cts:latinLit:phi0631.phi002"
"https://catalog.digitallatin.org/dll-work/W598","","","PHI","","","","","Sallust","","","W598","phi0631.004","","urn:cts:latinLit:phi0631.phi004"
"https://catalog.digitallatin.org/dll-work/W629","","","PHI","Rep. (OLD)","","","","Sallust","","Dubiously/Spuriously Attributed","W629","phi0631.007","stoa0249.stoa003","urn:cts:latinLit:phi0631.phi007"
"https://catalog.digitallatin.org/dll-work/W1096","","","Perseus Catalog","","","","","Rusticus Helpidius","","","W1096","","stoa0245b.stoa001","urn:cts:latinLit:stoa0245b.stoa001"
"https://catalog.digitallatin.org/dll-work/W1158","","","Perseus Catalog","","","","","Rusticus Helpidius","","","W1158","","stoa0245b.stoa002","urn:cts:latinLit:stoa0245b.stoa002"
"https://catalog.digitallatin.org/dll-work/W1323","","","Perseus Catalog","","","","","Ruricius I, Bishop of Limoges","","","W1323","","stoa0245a.stoa002","urn:cts:latinLit:stoa0245a.stoa002"
"https://catalog.digitallatin.org/dll-work/W1377","","","LLT-A;MGH","","","","","Ruricius I, Bishop of Limoges","","","W1377","","stoa0245a.stoa001","urn:cts:latinLit:stoa0245a.stoa001"
"https://catalog.digitallatin.org/dll-work/W4480","","","LLT-A","","","","","Remigius, Saint, Bishop of Rheims","","","W4480","","",""
"https://catalog.digitallatin.org/dll-work/W4484","","","LLT-A","","","","","Remigius, Saint, Bishop of Rheims","","","W4484","","",""
"https://catalog.digitallatin.org/dll-work/W4514","","","LLT-A","","","","","Remigius, Saint, Bishop of Rheims","","","W4514","","",""
"https://catalog.digitallatin.org/dll-work/W4965","","","LLT-A;Perseus Catalog","","","","","Rufinus, of Aquileia","","","W4965","","stoa0244d.stoa006","urn:cts:latinLit:stoa0244d.stoa006"
"https://catalog.digitallatin.org/dll-work/W4963","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W4963","","stoa0244d.stoa011","urn:cts:latinLit:stoa0244d.stoa011"
"https://catalog.digitallatin.org/dll-work/W4962","","","Perseus Catalog","","","","","Rufinus, of Aquileia","","","W4962","","stoa0244d.stoa003","urn:cts:latinLit:stoa0244d.stoa003"
"https://catalog.digitallatin.org/dll-work/W4984","","","LLT-A","","","","","Salvian, of Marseilles","","","W4984","","stoa0249a.stoa003","urn:cts:latinLit:stoa0249a.stoa003"
"https://catalog.digitallatin.org/dll-work/W5108","","","Perseus Catalog","","","","","Rusticus, Diaconus","","","W5108","","stoa0245d.stoa001","urn:cts:latinLit:stoa0245d.stoa001"
"https://catalog.digitallatin.org/dll-work/W4316","","","LLT-B","","","","","Servius, active 4th century","","","W4316","","stoa0259.stoa002a","urn:cts:latinLit:stoa0259.stoa002a"
"https://catalog.digitallatin.org/dll-work/W1959","","","Perseus Catalog","","","","","Siricius, Pope","","","W1959","","stoa0263e.stoa001","urn:cts:latinLit:stoa0263e.stoa001"
"https://catalog.digitallatin.org/dll-work/W1942","","","Perseus Catalog","","","","","Siricius, Pope","","","W1942","","stoa0263e.stoa002","urn:cts:latinLit:stoa0263e.stoa002"
"https://catalog.digitallatin.org/dll-work/W1973","","","Perseus Catalog","","","","","Siricius, Pope","","","W1973","","stoa0263e.stoa005","urn:cts:latinLit:stoa0263e.stoa005"
"https://catalog.digitallatin.org/dll-work/W1957","","","Perseus Catalog","","","","","Siricius, Pope","","","W1957","","stoa0263e.stoa006","urn:cts:latinLit:stoa0263e.stoa006"
"https://catalog.digitallatin.org/dll-work/W1941","","","Perseus Catalog","","","","","Siricius, Pope","","","W1941","","stoa0263e.stoa007","urn:cts:latinLit:stoa0263e.stoa007"
"https://catalog.digitallatin.org/dll-work/W1945","","","Perseus Catalog","","","","","Siricius, Pope","","","W1945","","stoa0263e.stoa008","urn:cts:latinLit:stoa0263e.stoa008"
"https://catalog.digitallatin.org/dll-work/W1986","","","Perseus Catalog","","","","","Siricius, Pope","","","W1986","","stoa0263e.stoa003","urn:cts:latinLit:stoa0263e.stoa003"
"https://catalog.digitallatin.org/dll-work/W1990","","","Perseus Catalog","","","","","Siricius, Pope","","","W1990","","stoa0263e.stoa004","urn:cts:latinLit:stoa0263e.stoa004"
"https://catalog.digitallatin.org/dll-work/W2378","","","Perseus Catalog","","","","","Sixtus, III, Pope","","","W2378","","stoa0263f.stoa001","urn:cts:latinLit:stoa0263f.stoa001"
"https://catalog.digitallatin.org/dll-work/W2458","","","PHI","","","","","Sulpicia","","","W2458","phi1023.001","","urn:cts:latinLit:phi1023.phi001"
"https://catalog.digitallatin.org/dll-work/W2464","","","PHI","","","","","Sulpicia","","Dubiously/Spuriously Attributed","W2464","phi1023.002","","urn:cts:latinLit:phi1023.phi002"
"https://catalog.digitallatin.org/dll-work/W3571","","","Perseus Catalog","","","","","Sidonius Apollinaris, Saint, 431 or 432-approximately 487","","","W3571","","stoa0261.stoa003","urn:cts:latinLit:stoa0261.stoa003"
"https://catalog.digitallatin.org/dll-work/W3564","","","MGH","","","","","Sidonius Apollinaris, Saint, 431 or 432-approximately 487","","","W3564","","stoa0261.stoa001","urn:cts:latinLit:stoa0261.stoa001"
