Author,Title,DLL Identifier,DLL Page Link
"Bernard, of Clairvaux, Saint",Sermones in epiphania Domini,W5121,https://catalog.digitallatin.org/dll-work/W5121
"Bernard, of Clairvaux, Saint",Sermones in festiuitate omnium sanctorum,W809,https://catalog.digitallatin.org/dll-work/W809
"Bernard, of Clairvaux, Saint",Sermones in festo sancti Michaelis,W818,https://catalog.digitallatin.org/dll-work/W818
"Bernard, of Clairvaux, Saint",Sermones in festo sanctorum apostolorum Petri et Pauli,W801,https://catalog.digitallatin.org/dll-work/W801
"Bernard, of Clairvaux, Saint",Sermones in labore messis,W837,https://catalog.digitallatin.org/dll-work/W837
"Bernard, of Clairvaux, Saint",Sermones in natali sancti Andreae,W784,https://catalog.digitallatin.org/dll-work/W784
"Bernard, of Clairvaux, Saint",Sermones in natali sancti Uictoris,W793,https://catalog.digitallatin.org/dll-work/W793
"Bernard, of Clairvaux, Saint",Sermones in natiuitate Domini,W798,https://catalog.digitallatin.org/dll-work/W798
"Bernard, of Clairvaux, Saint",Sermones in octaua paschae,W766,https://catalog.digitallatin.org/dll-work/W766
"Bernard, of Clairvaux, Saint",Sermones in purificatione beatae Mariae Uirginis,W804,https://catalog.digitallatin.org/dll-work/W804
"Bernard, of Clairvaux, Saint",Sermones in quadragesima,W781,https://catalog.digitallatin.org/dll-work/W781
"Bernard, of Clairvaux, Saint",Sermones in ramis palmarum,W791,https://catalog.digitallatin.org/dll-work/W791
"Bernard, of Clairvaux, Saint",Sermones in septuagesima,W796,https://catalog.digitallatin.org/dll-work/W796
"Bernard, of Clairvaux, Saint",Sermones in uigilia natiuitatis Domini,W764,https://catalog.digitallatin.org/dll-work/W764
"Bernard, of Clairvaux, Saint",Sermones super Cantica Canticorum,W803,https://catalog.digitallatin.org/dll-work/W803
"Bernard, of Clairvaux, Saint",Sermones super psalmum 'Qui habitat',W777,https://catalog.digitallatin.org/dll-work/W777
"Bernard, of Clairvaux, Saint",Vita sancti Malachiae,W786,https://catalog.digitallatin.org/dll-work/W786
"Bernard, of Cluny, active 12th century",De castitate seruanda carmen,W646,https://catalog.digitallatin.org/dll-work/W646
"Bernard, of Cluny, active 12th century",De contemptu mundi,W653,https://catalog.digitallatin.org/dll-work/W653
"Bernard, of Cluny, active 12th century",De octo uitiis carmen,W620,https://catalog.digitallatin.org/dll-work/W620
"Bernard, of Cluny, active 12th century",De trinitate et de fide catholica carmen,W625,https://catalog.digitallatin.org/dll-work/W625
"Bernard, of Cluny, active 12th century",In libros Regum carmen,W697,https://catalog.digitallatin.org/dll-work/W697
"Berno, Abbot of Reichenau",Vita Udalrici episcopi Augustani: Prologus,W2330,https://catalog.digitallatin.org/dll-work/W2330
"Bernold, of Constance",Chronicon,W655,https://catalog.digitallatin.org/dll-work/W655
"Bernold, of Constance",De ueritate corporis et sanguinis Domini,W650,https://catalog.digitallatin.org/dll-work/W650
"Bertharius, Saint",Carmina,W1033,https://catalog.digitallatin.org/dll-work/W1033
"Bertharius, Saint",Versus de miraculis patris Benedicti,W1101,https://catalog.digitallatin.org/dll-work/W1101
"Berthold, of Reichenau",Chronicon,W2007,https://catalog.digitallatin.org/dll-work/W2007
"Bertram, of Le Mans, Bishop of Le Mans",Fortunati Versus Ad Bertichramnum,W1648,https://catalog.digitallatin.org/dll-work/W1648
"Bertram, of Le Mans, Bishop of Le Mans",Testamentum,W1596,https://catalog.digitallatin.org/dll-work/W1596
"Bēssariōn, Cardinal, 1403-1472","Correctio librorum Platonis de legibus, Georgio Trapezuntio interprete",W5390,https://catalog.digitallatin.org/dll-work/W5390
"Bēssariōn, Cardinal, 1403-1472",In calumniatorem Platonis libri quattuor,W5389,https://catalog.digitallatin.org/dll-work/W5389
"Bibaculus, M. Furius (Marcus Furius)",Carmina,W3211,https://catalog.digitallatin.org/dll-work/W3211
"Biclara, João de",Chronicum Continuans Ubi Victor Desinit,W3632,https://catalog.digitallatin.org/dll-work/W3632
"Biondo, Flavio, 1392-1463",De verbis romanae locutionis,W3969,https://catalog.digitallatin.org/dll-work/W3969
"Birck, Sixt, 1500-1554",Epistulae?,W1963,https://catalog.digitallatin.org/dll-work/W1963
"Birck, Sixt, 1500-1554",Susanna,W1983,https://catalog.digitallatin.org/dll-work/W1983
"Bobolenus, Abbot of Bobbio",Vita Germani abb. Grandivallensis,W3725,https://catalog.digitallatin.org/dll-work/W3725
"Boccaccio, Giovanni, 1313-1375",Buccolicum Carmen,W877,https://catalog.digitallatin.org/dll-work/W877
"Boccaccio, Giovanni, 1313-1375",Carmina,W880,https://catalog.digitallatin.org/dll-work/W880
"Boccaccio, Giovanni, 1313-1375",De Canaria,W865,https://catalog.digitallatin.org/dll-work/W865
"Boccaccio, Giovanni, 1313-1375","De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, et de diversis nominibus maris",W856,https://catalog.digitallatin.org/dll-work/W856
"Boccaccio, Giovanni, 1313-1375",De mulieribus claris,W884,https://catalog.digitallatin.org/dll-work/W884
"Boccaccio, Giovanni, 1313-1375",De T. Livio,W861,https://catalog.digitallatin.org/dll-work/W861
"Boccaccio, Giovanni, 1313-1375",De vita et moribus d. Francisci Petracchi,W852,https://catalog.digitallatin.org/dll-work/W852
"Boccaccio, Giovanni, 1313-1375",Epistolae,W870,https://catalog.digitallatin.org/dll-work/W870
"Boccaccio, Giovanni, 1313-1375",Genealogie deorum gentilium libri,W5248,https://catalog.digitallatin.org/dll-work/W5248
"Boccaccio, Giovanni, 1313-1375",Vita s.mi fratris Petri Damiani,W873,https://catalog.digitallatin.org/dll-work/W873
"Bodin, Jean, 1530-1596",Colloquium heptaplomeres,W4211,https://catalog.digitallatin.org/dll-work/W4211
"Boethius, -524",Analyticorum Aristotelis Posteriorum (Analytica),W2875,https://catalog.digitallatin.org/dll-work/W2875
"Boethius, -524",Analyticorum Aristotelis Priorum  (Analytica),W2854,https://catalog.digitallatin.org/dll-work/W2854
"Boethius, -524",Categoriae,W2883,https://catalog.digitallatin.org/dll-work/W2883
"Boethius, -524",Commentaria in Ciceronis Topica,W2897,https://catalog.digitallatin.org/dll-work/W2897
"Boethius, -524",Commentaria in Porphyrium A Se Translatum,W2887,https://catalog.digitallatin.org/dll-work/W2887
"Boethius, -524",De Definitione,W2871,https://catalog.digitallatin.org/dll-work/W2871
"Boethius, -524",De Disciplina Scholarum,W2879,https://catalog.digitallatin.org/dll-work/W2879
"Boethius, -524",De diuisione,W2858,https://catalog.digitallatin.org/dll-work/W2858
"Boethius, -524",De fide catholica,W2885,https://catalog.digitallatin.org/dll-work/W2885
"Boethius, -524",De geometria (dub.),W2894,https://catalog.digitallatin.org/dll-work/W2894
"Boethius, -524",De Hypothetico Libri,W2869,https://catalog.digitallatin.org/dll-work/W2869
"Boethius, -524",De institutione arithmetica,W2877,https://catalog.digitallatin.org/dll-work/W2877
"Boethius, -524",De institutione musica,W2884,https://catalog.digitallatin.org/dll-work/W2884
"Boethius, -524",De sophisticis elenchis,W2889,https://catalog.digitallatin.org/dll-work/W2889
"Boethius, -524",De Syllogismo Categorico,W2856,https://catalog.digitallatin.org/dll-work/W2856
"Boethius, -524",De Syllogismo Hypothetico,W2882,https://catalog.digitallatin.org/dll-work/W2882
"Boethius, -524",De topicis differentiis,W2888,https://catalog.digitallatin.org/dll-work/W2888
"Boethius, -524",Euclidis Megarensis Geometriae Libri Duo Ab A M Severino Boethio Translati,W2826,https://catalog.digitallatin.org/dll-work/W2826
"Boethius, -524",In Categorias Aristotelis libri IV,W2898,https://catalog.digitallatin.org/dll-work/W2898
"Boethius, -524",In librum Aristotelis Peri hermeneias commentarii,W2872,https://catalog.digitallatin.org/dll-work/W2872
"Boethius, -524",In Porphyrii Isagogen commentorum editio prima,W2851,https://catalog.digitallatin.org/dll-work/W2851
"Boethius, -524",Liber contra Eutychen et Nestorium,W2886,https://catalog.digitallatin.org/dll-work/W2886
"Boethius, -524",Locorum Rhethoricorum Distinctio,W2867,https://catalog.digitallatin.org/dll-work/W2867
"Boethius, -524",Peri hermeneias liber Aristotelis latine uersus,W2881,https://catalog.digitallatin.org/dll-work/W2881
"Boethius, -524",Philosophiae consolatio,W2895,https://catalog.digitallatin.org/dll-work/W2895
"Boethius, -524","Quomodo substantiae in eo, quod sint, bonae sint",W2870,https://catalog.digitallatin.org/dll-work/W2870
"Boethius, -524",Quomodo trinitas unus Deus ac non tres dii,W2878,https://catalog.digitallatin.org/dll-work/W2878
"Boethius, -524",Speculatio De Rhethoricae Cognatione,W2893,https://catalog.digitallatin.org/dll-work/W2893
"Boethius, -524",Topica,W2865,https://catalog.digitallatin.org/dll-work/W2865
"Boethius, -524",Utrum Pater et Filius et Spiritus sanctus de diuinitate substantialiter praedicentur,W2857,https://catalog.digitallatin.org/dll-work/W2857
"Boiardo, Matteo Maria, 1440 or 1441-1494",Pastoralia,W5300,https://catalog.digitallatin.org/dll-work/W5300
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Breuiloquium,W1453,https://catalog.digitallatin.org/dll-work/W1453
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Collationes de septem donis spiritus sancti,W1422,https://catalog.digitallatin.org/dll-work/W1422
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Collationes in Hexaemeron,W1430,https://catalog.digitallatin.org/dll-work/W1430
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentaria in quattuor libros Sententiarum Magistri Petri Lombardi: in librum I,W1476,https://catalog.digitallatin.org/dll-work/W1476
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentaria in quattuor libros Sententiarum Magistri Petri Lombardi: in librum II,W1482,https://catalog.digitallatin.org/dll-work/W1482
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentaria in quattuor libros Sententiarum Magistri Petri Lombardi: in librum III,W1461,https://catalog.digitallatin.org/dll-work/W1461
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentaria in quattuor libros Sententiarum Magistri Petri Lombardi: in librum IV,W1502,https://catalog.digitallatin.org/dll-work/W1502
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentarius in Ecclesiasten,W1513,https://catalog.digitallatin.org/dll-work/W1513
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentarius in Euangelium sancti Iohannis,W1475,https://catalog.digitallatin.org/dll-work/W1475
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentarius in Euangelium sancti Lucae,W1481,https://catalog.digitallatin.org/dll-work/W1481
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Commentarius in librum Sapientiae,W1488,https://catalog.digitallatin.org/dll-work/W1488
"Bonaventure, Saint, Cardinal, approximately 1217-1274",De reductione artium ad theologiam,W1410,https://catalog.digitallatin.org/dll-work/W1410
"Bonaventure, Saint, Cardinal, approximately 1217-1274",De scientia Christi,W1444,https://catalog.digitallatin.org/dll-work/W1444
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Itinerarium mentis in Deum,W1449,https://catalog.digitallatin.org/dll-work/W1449
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Legenda maior sancti Francisci,W1479,https://catalog.digitallatin.org/dll-work/W1479
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Legenda minor sancti Francisci,W1483,https://catalog.digitallatin.org/dll-work/W1483
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Quaestiones disputatae de mysterio Trinitatis,W1503,https://catalog.digitallatin.org/dll-work/W1503
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Quaestiones disputatae de perfectione euangelica,W1510,https://catalog.digitallatin.org/dll-work/W1510
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Sermo de sancto Marco euangelista a Bonauentura gallice habitus et ab auditore aliquo latine uersus,W1487,https://catalog.digitallatin.org/dll-work/W1487
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Sermones de diuersis: reportationes,W1432,https://catalog.digitallatin.org/dll-work/W1432
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Sermones de tempore,W1507,https://catalog.digitallatin.org/dll-work/W1507
"Bonaventure, Saint, Cardinal, approximately 1217-1274",Sermones dominicales,W1472,https://catalog.digitallatin.org/dll-work/W1472
"Boncompagno, da Signa, approximately 1165-approximately 1240",Breviloqium,W4074,https://catalog.digitallatin.org/dll-work/W4074
"Boniface I, Pope",Decreta Ex Epistolis Excerpta,W272,https://catalog.digitallatin.org/dll-work/W272
"Boniface I, Pope",Epistolae et Decreta,W264,https://catalog.digitallatin.org/dll-work/W264
"Boniface I, Pope",Epistolae Sancto Bonifacio attributae,W274,https://catalog.digitallatin.org/dll-work/W274
"Boniface II, Pope -532",Epistola et Decreta,W4939,https://catalog.digitallatin.org/dll-work/W4939
"Boniface II, Pope -532",Epistola II Ad Eulalium Alexandrinum Episcopum,W3940,https://catalog.digitallatin.org/dll-work/W3940
"Boniface II, Pope -532",Preces et Justiniani Praedicti Principis,W3911,https://catalog.digitallatin.org/dll-work/W3911
"Boniface IV, Pope",Concilium Romanum [AD 0610],W2472,https://catalog.digitallatin.org/dll-work/W2472
"Boniface V, Pope",Epistola Ad Justum Catauriensem Archiepiscopum,W5316,https://catalog.digitallatin.org/dll-work/W5316
"Boniface V, Pope",Epistolae tres,W3001,https://catalog.digitallatin.org/dll-work/W3001
"Bonizo, of Sutri",Liber ad amicum,W3258,https://catalog.digitallatin.org/dll-work/W3258
Bonosus Poeta 5th or 5th/6th century,Carmina,W451,https://catalog.digitallatin.org/dll-work/W451
"Bonus, Petrus, active 1323-1330",Pretiosa margarita novella,W4885,https://catalog.digitallatin.org/dll-work/W4885
"Bošković, Baro",Eclogae,W1517,https://catalog.digitallatin.org/dll-work/W1517
"Bovo II, of Corvey",Commentarius ad Boethii carmen 'O qui perpetua',W3789,https://catalog.digitallatin.org/dll-work/W3789
"Boym, Michał",Cafraria,W1948,https://catalog.digitallatin.org/dll-work/W1948
"Bracciolini, Poggio",Facetiae,W1295,https://catalog.digitallatin.org/dll-work/W1295
"Bracciolini, Poggio",Tertiae convivalis historiae disceptatio,W1274,https://catalog.digitallatin.org/dll-work/W1274
"Braulio, Saint, Bishop of Zaragoza",Acta De Martyribus Caesaraugustianis,W1565,https://catalog.digitallatin.org/dll-work/W1565
"Braulio, Saint, Bishop of Zaragoza",Epistula ad Eugenium Toletanum,W5070,https://catalog.digitallatin.org/dll-work/W5070
"Braulio, Saint, Bishop of Zaragoza",Renotatio librorum domini Isidori,W5073,https://catalog.digitallatin.org/dll-work/W5073
"Braulio, Saint, Bishop of Zaragoza",Vita S. Aemiliani Confessoris,W1524,https://catalog.digitallatin.org/dll-work/W1524
"Bruni, Leonardo, 1369-1444",An vulgus et literati eodem modo per Terentii Tullique tempora Romae locuti sint,W1382,https://catalog.digitallatin.org/dll-work/W1382
"Bruno, di Segni, Saint",Epistolae quattuor,W2379,https://catalog.digitallatin.org/dll-work/W2379
"Bruno, di Segni, Saint",Libellus de symoniacis,W2415,https://catalog.digitallatin.org/dll-work/W2415
"Bruno, Giordano, 1548-1600",Acrotismus Camoeracensis,W3970,https://catalog.digitallatin.org/dll-work/W3970
"Bruno, Giordano, 1548-1600",Animadversiones in lampadem Lullianam,W3964,https://catalog.digitallatin.org/dll-work/W3964
"Bruno, Giordano, 1548-1600","Ars reminescendi, Triginta sigilli, Sigillus sigillorum",W3971,https://catalog.digitallatin.org/dll-work/W3971
"Bruno, Giordano, 1548-1600",Articuli adversus mathematicos,W3952,https://catalog.digitallatin.org/dll-work/W3952
"Bruno, Giordano, 1548-1600",Cantus Circaeus,W3932,https://catalog.digitallatin.org/dll-work/W3932
"Bruno, Giordano, 1548-1600",De architectura Lulliana,W4005,https://catalog.digitallatin.org/dll-work/W4005
"Bruno, Giordano, 1548-1600",De imaginum compositione,W4007,https://catalog.digitallatin.org/dll-work/W4007
"Bruno, Giordano, 1548-1600",De lampade combinatoria,W3973,https://catalog.digitallatin.org/dll-work/W3973
"Bruno, Giordano, 1548-1600",De lampade venatoria,W3961,https://catalog.digitallatin.org/dll-work/W3961
"Bruno, Giordano, 1548-1600",De magia mathematica,W3935,https://catalog.digitallatin.org/dll-work/W3935
"Bruno, Giordano, 1548-1600","De monade, numero et figura",W3968,https://catalog.digitallatin.org/dll-work/W3968
"Bruno, Giordano, 1548-1600",De somnii interpretatione,W3966,https://catalog.digitallatin.org/dll-work/W3966
"Bruno, Giordano, 1548-1600",De specierum scrutinio,W3976,https://catalog.digitallatin.org/dll-work/W3976
"Bruno, Giordano, 1548-1600",De triplici minimo et mensura,W3931,https://catalog.digitallatin.org/dll-work/W3931
"Bruno, Giordano, 1548-1600",De umbris idearum,W3972,https://catalog.digitallatin.org/dll-work/W3972
"Bruno, Giordano, 1548-1600",Figuratio Aristotelici Physici auditus,W3954,https://catalog.digitallatin.org/dll-work/W3954
"Bruno, Giordano, 1548-1600",Il processo di Pico della Mirandola,W3936,https://catalog.digitallatin.org/dll-work/W3936
"Bruno, Giordano, 1548-1600",Libri physicorum Aristotelis explanati,W3967,https://catalog.digitallatin.org/dll-work/W3967
"Bruno, Giordano, 1548-1600",Mordentius et de Mordentii circino,W3953,https://catalog.digitallatin.org/dll-work/W3953
"Bruno, Giordano, 1548-1600",Oratio consolatoria,W3979,https://catalog.digitallatin.org/dll-work/W3979
"Bruno, Giordano, 1548-1600",Oratio valedictoria,W3978,https://catalog.digitallatin.org/dll-work/W3978
"Bruno, Giordano, 1548-1600",Summa terminorum metaphysicorum,W4003,https://catalog.digitallatin.org/dll-work/W4003
"Bruno, of Querfurt, Saint",Vita Adalberti episcopi Pragensis,W4978,https://catalog.digitallatin.org/dll-work/W4978
"Bruno, of Querfurt, Saint",Vita quinque fratrum occisorum in Polonia,W3071,https://catalog.digitallatin.org/dll-work/W3071
"Bruttedius Niger, approximately 6 B.C.-31 A.D.",Historiae,W4116,https://catalog.digitallatin.org/dll-work/W4116
Bruttius,Historiae,W2442,https://catalog.digitallatin.org/dll-work/W2442
"Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C.",Epist. a Decimo Iunio Bruto Albino,W1412,https://catalog.digitallatin.org/dll-work/W1412
"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Iurisprudentia,W3630,https://catalog.digitallatin.org/dll-work/W3630
"Brutus, Marcus Junius, 85 B.C.?-42 B.C.",Epistulae ad Ciceronem et Atticum seruatae cum Ciceronis Epistulis ad Brutum,W151,https://catalog.digitallatin.org/dll-work/W151
"Brutus, Marcus Junius, 85 B.C.?-42 B.C.",Epistulae ad Ciceronem seruatae cum Ciceronis Epistulis ad Brutum,W146,https://catalog.digitallatin.org/dll-work/W146
"Brutus, Marcus Junius, 85 B.C.?-42 B.C.",Orationes (Marcus Iunius Brutus [tyr.]),W157,https://catalog.digitallatin.org/dll-work/W157
"Budé, Guillaume, 1468-1540",De asse et partibus ius,W4833,https://catalog.digitallatin.org/dll-work/W4833
Bulgaranus Comes,Epistolae tres ad Episcopum Franciae directae,W415,https://catalog.digitallatin.org/dll-work/W415
"Bulteel, Gislain",Miscellanea,W5342,https://catalog.digitallatin.org/dll-work/W5342
Burginda,Expositionis Apponii sancti abbatis in Canticum canticorum libri XII breuiter decerptimque,W1203,https://catalog.digitallatin.org/dll-work/W1203
"Buridan, Jean, 1300-1358",Expositio in Aristotelis de anima,W2656,https://catalog.digitallatin.org/dll-work/W2656
"Buridan, Jean, 1300-1358",Expositio in Aristotelis de caelo,W2691,https://catalog.digitallatin.org/dll-work/W2691
"Buridan, Jean, 1300-1358",Lectura Erfordiensis in Aristotelis Metaphysicam I - VI,W2703,https://catalog.digitallatin.org/dll-work/W2703
"Buridan, Jean, 1300-1358",Quaestiones in Aristotelis De anima,W2699,https://catalog.digitallatin.org/dll-work/W2699
"Buridan, Jean, 1300-1358",Quaestiones in Aristotelis De caelo,W2651,https://catalog.digitallatin.org/dll-work/W2651
"Bury, Richard de, 1287-1345",Philobiblon,W2053,https://catalog.digitallatin.org/dll-work/W2053
Caecilius Balbus,De nugis philosophorum,W432,https://catalog.digitallatin.org/dll-work/W432
Caecilius Statius,Palliatae,W3161,https://catalog.digitallatin.org/dll-work/W3161
"Caecina, A. (Aulus)",Fragmentum,W1231,https://catalog.digitallatin.org/dll-work/W1231
Caelestinus,Historicum Fragmentum,W1266,https://catalog.digitallatin.org/dll-work/W1266
"Caelius Rufus, Marcus",Orationes (Marcus Caelius Rufus),W1857,https://catalog.digitallatin.org/dll-work/W1857
"Caelius Sabinus, Cn. Arulenus, active 1st century","Iurisprudentia, fragmenta",W4061,https://catalog.digitallatin.org/dll-work/W4061
"Caepasius, L., active 74 B.C.-70 B.C.",Oratio (Gaius vel Lucius Caepasius),W3916,https://catalog.digitallatin.org/dll-work/W3916
"Caepio, Q. Servilius (Quintus Servilius), active 100 B.C.-90 B.C.",Oratio,W4357,https://catalog.digitallatin.org/dll-work/W4357
"Caesar Strabo, C. Julius",Orationes,W1890,https://catalog.digitallatin.org/dll-work/W1890
"Caesar Strabo, C. Julius",Tragoediae,W1861,https://catalog.digitallatin.org/dll-work/W1861
"Caesar, Julius",Anticato,W4437,https://catalog.digitallatin.org/dll-work/W4437
"Caesar, Julius",Bellum Africum (dub.),W4388,https://catalog.digitallatin.org/dll-work/W4388
"Caesar, Julius",Bellum Alexandrinum (dub.),W4394,https://catalog.digitallatin.org/dll-work/W4394
"Caesar, Julius",Bellum Civile,W4412,https://catalog.digitallatin.org/dll-work/W4412
"Caesar, Julius",Bellum Hispaniense (dub.),W4371,https://catalog.digitallatin.org/dll-work/W4371
"Caesar, Julius",Carmina,W4385,https://catalog.digitallatin.org/dll-work/W4385
"Caesar, Julius",De Analogia,W4391,https://catalog.digitallatin.org/dll-work/W4391
"Caesar, Julius",De analogia ad M. Tullium Ciceronem,W4414,https://catalog.digitallatin.org/dll-work/W4414
"Caesar, Julius",De Bello Gallico,W4398,https://catalog.digitallatin.org/dll-work/W4398
"Caesar, Julius",epistulae ad Ciceronem,W4435,https://catalog.digitallatin.org/dll-work/W4435
"Caesar, Julius",Epistulae ad familiares,W4410,https://catalog.digitallatin.org/dll-work/W4410
"Caesar, Julius",Orationes,W4384,https://catalog.digitallatin.org/dll-work/W4384
"Caesar, L. Julius (Lucius Julius), active 90 B.C.-43 B.C.","Auspiciorum Liber, fragmenta",W97,https://catalog.digitallatin.org/dll-work/W97
"Caesarius, of Arles, Saint",Appendix ad Opera S. Caesarii,W5220,https://catalog.digitallatin.org/dll-work/W5220
"Caesarius, of Arles, Saint",Concilium Arausicanum II. De Gratia Et Libero Arbitrio,W5209,https://catalog.digitallatin.org/dll-work/W5209
"Caesarius, of Arles, Saint",De Canonibus Observandis,W34,https://catalog.digitallatin.org/dll-work/W34
"Caesarius, of Arles, Saint",Epistola 'De Decem Virginibus',W33,https://catalog.digitallatin.org/dll-work/W33
"Caesarius, of Arles, Saint",Epistola Ad Quosdam Germanos,W21,https://catalog.digitallatin.org/dll-work/W21
"Caesarius, of Arles, Saint",Epistolae,W20,https://catalog.digitallatin.org/dll-work/W20
"Caesarius, of Arles, Saint",Epistula ad Ruricium Lemouicensem,W5206,https://catalog.digitallatin.org/dll-work/W5206
"Caesarius, of Arles, Saint",Expositio in Apocalypsim,W32,https://catalog.digitallatin.org/dll-work/W32
"Caesarius, of Arles, Saint",Homilia,W31,https://catalog.digitallatin.org/dll-work/W31
"Caesarius, of Arles, Saint",Opusculum De Viduitate Servanda,W19,https://catalog.digitallatin.org/dll-work/W19
"Caesarius, of Arles, Saint",Regula Ad Monachos,W18,https://catalog.digitallatin.org/dll-work/W18
"Caesarius, of Arles, Saint",Regula Ad Virgines,W5221,https://catalog.digitallatin.org/dll-work/W5221
"Caesarius, of Arles, Saint",Sermo ad Sanctimoniales,W5210,https://catalog.digitallatin.org/dll-work/W5210
"Caesarius, of Arles, Saint",Sermones ex integro a Caesario compositi uel ex aliis fontibus hausti,W30,https://catalog.digitallatin.org/dll-work/W30
"Caesarius, of Arles, Saint",Testamentum,W29,https://catalog.digitallatin.org/dll-work/W29
"Caesarius, of Arles, Saint",Vita Operaque [Firmino Et Viventio Episcopis],W17,https://catalog.digitallatin.org/dll-work/W17
"Caesarius, of Heisterbach, approximately 1180-approximately 1240",Catalogus archiepiscoporum Coloniensium: Continuatio II (1167-1238),W2787,https://catalog.digitallatin.org/dll-work/W2787
"Caesarius, of Heisterbach, approximately 1180-approximately 1240","Commentarius super sequentiam 'Aue, praeclara maris stella’",W2748,https://catalog.digitallatin.org/dll-work/W2748
"Caesarius, of Heisterbach, approximately 1180-approximately 1240",Dialogus miraculorum,W4995,https://catalog.digitallatin.org/dll-work/W4995
"Caesellius Vindex, Lucius, active 2nd century","Grammatica, fragmenta",W428,https://catalog.digitallatin.org/dll-work/W428
Caesius Bassus,Breviatio pedum (dub.),W3958,https://catalog.digitallatin.org/dll-work/W3958
Caesius Bassus,carmen,W3943,https://catalog.digitallatin.org/dll-work/W3943
Caesius Bassus,De compositionibus (dub.),W4004,https://catalog.digitallatin.org/dll-work/W4004
Caesius Bassus,De metris Horatii (dub.),W4039,https://catalog.digitallatin.org/dll-work/W4039
Caesius Bassus,"De Metris, fragmenta",W4016,https://catalog.digitallatin.org/dll-work/W4016
Caesius Bassus,Genera versuum (dub.),W3990,https://catalog.digitallatin.org/dll-work/W3990
Caesius Bassus,Poeticae species Lat. (dub.),W5355,https://catalog.digitallatin.org/dll-work/W5355
Calbulus Poeta 5th or 5th/6th century,Versus Paschales Prosodici (Edyll. I),W3803,https://catalog.digitallatin.org/dll-work/W3803
Calcidius,Commentarius in Platonis Timaeum,W1695,https://catalog.digitallatin.org/dll-work/W1695
Calcidius,Epistula ad Ossium,W1670,https://catalog.digitallatin.org/dll-work/W1670
Calcidius,Ex Graecis Conversiones,W1730,https://catalog.digitallatin.org/dll-work/W1730
Calcidius,Platonis Timaeus Commentaria,W1703,https://catalog.digitallatin.org/dll-work/W1703
"Calidius, M. (Marcus), active 64 B.C.-49 B.C.",Oratio (Marcus Calidius),W4483,https://catalog.digitallatin.org/dll-work/W4483
"Callistratus, active 3rd century-4th century",Fragmenta,W5171,https://catalog.digitallatin.org/dll-work/W5171
"Calpurnius Bibulus, Lucius -32?",Commentarii Bruti,W1978,https://catalog.digitallatin.org/dll-work/W1978
Calpurnius Flaccus,"Declamationes, excerpta",W5028,https://catalog.digitallatin.org/dll-work/W5028
"Calpurnius Siculus, Titus",Eclogae,W4044,https://catalog.digitallatin.org/dll-work/W4044
"Calvin, Jean, 1509-1564",Christianae religionis institutio,W1731,https://catalog.digitallatin.org/dll-work/W1731
"Calvus, C. Licinius Macer",Carmina,W3599,https://catalog.digitallatin.org/dll-work/W3599
"Calvus, C. Licinius Macer",Orationes,W3663,https://catalog.digitallatin.org/dll-work/W3663
"Campanella, Tommaso, 1568-1639",Ciuitas solis,W438,https://catalog.digitallatin.org/dll-work/W438
"Campion, Thomas",Ad Thamesin,W1516,https://catalog.digitallatin.org/dll-work/W1516
"Cannutius, P., 106 B.C.-",Oratio,W2848,https://catalog.digitallatin.org/dll-work/W2848
"Cano, Melchor, 1509?-1560",Epistolae duae ad Sepulvedam,W160,https://catalog.digitallatin.org/dll-work/W160
"Cantalicio, Giovanni Battista, -1515",Bucolica,W733,https://catalog.digitallatin.org/dll-work/W733
"Cantalicio, Giovanni Battista, -1515",Spectacula lucretiana,W727,https://catalog.digitallatin.org/dll-work/W727
"Caper, Flavius",De Orthographia,W16,https://catalog.digitallatin.org/dll-work/W16
"Caper, Flavius",De Verbis Dubiis,W28,https://catalog.digitallatin.org/dll-work/W28
"Capito, C. Ateius, -22",Grammatica?,W1106,https://catalog.digitallatin.org/dll-work/W1106
"Capito, C. Ateius, -22",Iurisprudentia (Gaius Ateius Capito),W1104,https://catalog.digitallatin.org/dll-work/W1104
